"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZR2.00938GLS014","GLS",NULL,3.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS015","GLS","glass: colourless",12.00,"beaker/mug",NULL,1575,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-9","colourless, with a hint of yellow","the Netherlands",NULL,35,NULL,NULL,"vetro a fili",NULL
"NZR2.00939GLS001","GLS",NULL,408.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-21","green","Germany",100.00,100,NULL,NULL,NULL,NULL
"NZR2.00939GLS002","GLS",NULL,293.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",NULL,35,NULL,NULL,NULL,NULL
"NZR2.00939GLS003","GLS","glass",61.00,"bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00939GLS004","GLS",NULL,9.00,"bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-4","yellow green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00939GLS005","GLS",NULL,37.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",65.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00939GLS006","GLS",NULL,14.00,"wine bottle",NULL,1690,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-23","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00939GLS007","GLS",NULL,9.00,"case-bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00939GLS008","GLS","glass: forest-glass",2.00,"roemer",NULL,1630,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","the Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00939GLS009","GLS","glass: colourless",34.00,"goblet",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-38","colourless","England?",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00939GLS010","GLS","glass: colourless",2.00,"window glass",NULL,1900,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00939GLS011","GLS",NULL,11.50,"window glass",NULL,1800,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
